#,Product Name,Technical Name
1,Krishikranti Vardha Kasugamycin 3% SL | Systemic Fungicide & Bactericide,Kasugamycin 3% SL
2,Krishikranti Origen Plus – Fipronil 4% + Acetamiprid 4% SC | Broad Spectrum Insecticide,Fipronil 4% + Acetamiprid 4% SC
3,Krishikranti Bhairav Chlorantraniliprole 8.8% + Thiamethoxam 17.5% SC Insecticide,Chlorantraniliprole 8.8% + Thiamethoxam 17.5% SC
4,Krishikranti VARCHAS Triacontanol 0.1% EW Plant Growth Regulator,Triacontanol 0.1% EW
5,Krishikranti Gibber+ Gibberellic Acid 0.186% SP (Plant Growth Regulator),Gibberellic Acid 0.186% SP
6,"Krishikranti REMI GOLD Fipronil 18.87% SC – Thrips Control for Cotton, Chilli & Onion | Resistant Thrips Killer",Fipronil 18.87% SC
7,Krishikranti Nutri Growth Mix Micronutrient Super | Chelated Micronutrients for Plants,Chelated Micronutrient Mix
8,"Krishikranti Loki Fenvalerate 20% EC | Synthetic Pyrethroid Insecticide for Bollworm, Shoot & Fruit Borer, Aphid, Jassid",Fenvalerate 20% EC
9,Krishikranti Helion Fungicide -Tebuconazole 38.39% SC,Fungicide -Tebuconazole 38.39% SC
10,Krishikranti Sulvion | Sulphur 55.16% SC | Chemical Fungicide,Sulphur 55.16% SC
11,Krishikranti kindle Carbendazim 46.27% SC Broad Spectrum Systemic Fungicide,Carbendazim 46.27% SC
12,"Krishikranti Safyra Tebuconazole 6.7% + Captan 26.9% SC Fungicide, Contact and Systemic",Tebuconazole 6.7% + Captan 26.9% SC
13,"Krishikranti Clearmite Insecticide for Mites & Thrips Control in Chilli, Cotton & Vegetables",Spiromesifen + Abamectin SC
14,Krishikranti UPAJ URJA Zinc Oxide 39.5% SC Liquid Zinc Fertilizer for Crop Growth & Yield Improvement,Zinc Oxide 39.5% SC
15,Krishikranti BORSHAKTI Boron 10% SC - Liquid Boron Fertilizer for Crop Deficiency,Boron 10% SC
16,Krishikranti FRUIT RIPEN Ethephon 39% SL Plant Growth Regulator for Uniform Fruit Ripening & Yield,Ethephon 39% SL
17,"Krishikranti BALRAKSHAK Liquid Calcium-11% SC Micronutrient Fertilizer,",Calcium 11% SC
18,krishikranti G-BOOST Gibberellic Acid 40% WSG Plant Growth Regulator,Gibberellic Acid 40% WSG
19,"Krishikranti NPK 00:52:34 Water Soluble Fertilizer, Mono Potassium Phosphate.",Mono Potassium Phosphate NPK 00:52:34
20,Krishikranti NPK 12:61:00 (Mono Ammonium Phosphate) Water Soluble Fertilizer.,Mono Ammonium Phosphate NPK 12:61:00
21,Krishikranti NPK 19:19:19 Water Soluble Fertilizer.,NPK 19:19:19 Water Soluble Fertilizer
22,"Krishikranti NPK 13:40:13 Water Soluble Fertilizer, Promotes Rapid And Healthy Growth, Increases Crop Yield And Quality",NPK 13:40:13 Water Soluble Fertilizer
23,"Krishikranti NPK 13:00:45 (Potassium Nitrate) Water Soluble Fertilizer, Increases Yields And Improves Quality Of Crops",Potassium Nitrate NPK 13:00:45
24,"Krishikranti NPK 20:20:20 Water Soluble Fertilizer, Best For Drip Irrigation And Foliar Application",NPK 20:20:20 Water Soluble Fertilizer
25,Krishikranti NPK 00:00:50 Potassium Sulphate – Premium Potassium Fertilizer for Better Yield & Plant Strength,Potassium Sulphate NPK 00:00:50
26,"Krishikranti NPK 13:00:45 (Potassium Nitrate) Water Soluble Fertilizer, Increases Yields And Improves Quality Of Crops",Potassium Nitrate NPK 13:00:45
27,"Krishikranti NPK 00:00:50 (Potassium Sulphate) Water Soluble Fertilizer, Resulting In Enhanced Color And Shining",Potassium Sulphate NPK 00:00:50
28,Krishikranti NPK 20:20:20 Water Soluble Fertilizer,NPK 20:20:20 Water Soluble Fertilizer
29,"Krishikranti NPK 12:61:00 (Mono Ammonium Phosphate) Water Soluble Fertilizer, Promotes Root And Faster Vegetative Growth",Mono Ammonium Phosphate NPK 12:61:00
30,Krishikranti NPK 19:19:19 Water Soluble Fertilizer For Fast Your Plant Growth and Flowering,NPK 19:19:19 Water Soluble Fertilizer
31,"Krishikranti LAKHA Tolfenpyrad 15% EC Insecticide – Powerful Control for Thrips, Mites & Whiteflies",Tolfenpyrad 15% EC
32,Krishikranti RUN CHASE Difenoconazole 25% EC Systemic Fungicide,Difenoconazole 25% EC
33,Krishikranti Rognashak Fungicide  Propiconazole 13.9% + Difenoconazole 13.9% EC for Complete Fungal Disease Control,Fungicide  Propiconazole 13.9% + Difenoconazole 13.9% EC
34,"Krishikranti NPK 13:40:13 Water Soluble Fertilizer, Promotes Rapid And Healthy Growth, Increases Crop Yield And Quality",NPK 13:40:13 Water Soluble Fertilizer
35,Krishikranti NPK 00:52:34 – Pure Mono Potassium Phosphate for Fast Crop Growth,Mono Potassium Phosphate NPK 00:52:34
36,Krishikranti Toofan Plant Growth Regulator,Multi-hormone Plant Growth Regulator
37,Krishikranti NOVA GRO Forchlorfenuron 0.1 % L Plant Growth Regulator,Forchlorfenuron 0.1% L
38,Krishikranti GHAATAK Novaluron 5.25% + Emamectin Benzoate 0.9% SC Insecticide for Caterpillar Control,Novaluron 5.25% + Emamectin Benzoate 0.9% SC
39,Krishikranti RAKSHAK Novaluron 5.25% + Indoxacarb 4.5% SC Insecticide for Caterpillar Control,Novaluron 5.25% + Indoxacarb 4.5% SC
40,Krishikranti VINASHAK Indoxacarb 14.5% SC Insecticide for Caterpillar & Lepidopteran Pest Control,Indoxacarb 14.5% SC
41,Krishikranti NIMON Novaluron 10% EC Insecticide for Caterpillar Control in Crops,Novaluron 10% EC
42,Mycorrhiza Fertilizer (VAM) for Root Growth | Krishikranti Myrizza,Vesicular Arbuscular Mycorrhiza (VAM)
43,Krishikranti CUBA  Chlorantraniliprole 9.3% + Lambda Cyhalothrin 4.6% ZC insecticide,Chlorantraniliprole 9.3% + Lambda Cyhalothrin 4.6% ZC
44,"Krishikranti  MYCORAKSHAK Myclobutanil 10% WP Systemic Fungicide, With Broad Spectrum Activity To Fight Fungal Cell",Myclobutanil 10% WP
45,Krishikranti AURON-44 Diafenthiuron 40.1% + Acetamiprid 3.9% WP Insecticide for Whitefly & Sucking Pest Control,Diafenthiuron 40.1% + Acetamiprid 3.9% WP
46,"Krishikranti BIO-TRIDEV Multi-Nutrient Bio Fertilizer for Zinc, Potash & Phosphate",Multi-Nutrient Bio Fertilizer (Zn+Fe+Mn)
47,"Krishikranti MODIBAN Chlorpyriphos 10% GR | Granular Insecticide for Termite, White Grub, Stem Borer & Soil Pest Control",Chlorpyriphos 10% GR
48,Krishikranti Humic Acid 98% | Super Potassium Humate Fertilizer for Plant Growth & Soil Health,Humic Acid 98% + Fulvic Acid (Super Potassium Humate)
